Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
11.4,4,0.109845457,0.145133097,0.131413033,0.110382575,0.096629008,0.494060367,0.502023771,0.274994857,0.227028914,7.190958086,58.84664354,58.84664031,874348400
11.41,4,0.109830728,0.145109912,0.131389849,0.110367774,0.096614207,0.493941006,0.501903083,0.274874169,0.227028914,7.189229356,58.83865154,58.83864831,875115300
11.42,4,0.109816033,0.145086778,0.131366714,0.110353007,0.09659944,0.493821857,0.50178261,0.274753696,0.227028914,7.187503715,58.83067199,58.83066876,875882400
11.43,4,0.109801373,0.14506369,0.131343626,0.110338276,0.096584709,0.49370286,0.501662293,0.274633378,0.227028914,7.185780291,58.82269772,58.82269448,876649300
11.44,4,0.109786749,0.14504065,0.131320586,0.11032358,0.096570013,0.493584047,0.501542162,0.274513247,0.227028914,7.18405954,58.81473297,58.81472973,877416300
11.45,4,0.109772159,0.145017656,0.131297592,0.110308918,0.096555351,0.49346541,0.50142221,0.274393296,0.227028914,7.182341364,58.80678056,58.80677731,878183200
11.46,4,0.109757605,0.144994714,0.13127465,0.110294293,0.096540726,0.493346979,0.501302468,0.274273553,0.227028914,7.180626177,58.79883782,58.79883457,878950200
11.47,4,0.109743086,0.144921707,0.131201643,0.110279703,0.096526136,0.492512091,0.500464521,0.274153992,0.226310529,7.168624774,58.77865853,58.77865681,879717200
11.48,4,0.109728601,0.14489235,0.131172286,0.110265148,0.096511581,0.492300917,0.500251813,0.27403459,0.226217223,7.165577955,58.76912458,58.76912286,880484200
11.49,4,0.109714152,0.144863052,0.131142988,0.110250628,0.096497061,0.492090095,0.500039461,0.27391539,0.226124071,7.162536243,58.75960148,58.75959977,881251100
11.5,4,0.109699736,0.144833813,0.131113749,0.110236142,0.096482575,0.491879616,0.499827455,0.273796381,0.226031074,7.159499481,58.75008484,58.75008312,882018100
11.51,4,0.109685355,0.144804628,0.131084564,0.11022169,0.096468123,0.491669434,0.499615749,0.273677519,0.22593823,7.156467013,58.7405772,58.74057548,882785100
11.52,4,0.109671008,0.144775504,0.13105544,0.110207273,0.096453706,0.491459622,0.499404416,0.273558875,0.225845541,7.153439898,58.73109311,58.73109139,883552100
11.53,4,0.109656696,0.144746438,0.131026375,0.110192891,0.096439324,0.491250129,0.499193407,0.273440401,0.225753006,7.150417405,58.72160408,58.72160235,884319000
11.54,4,0.109642417,0.144717429,0.130997365,0.110178542,0.096424975,0.491040978,0.498982741,0.273322117,0.225660624,7.147399844,58.7121224,58.71212067,885086000
11.55,4,0.109628173,0.144688476,0.130968412,0.110164228,0.096410661,0.490832129,0.498772381,0.273203985,0.225568396,7.144386656,58.70264479,58.70264306,885853000
11.56,4,0.109613961,0.144659581,0.130939518,0.110149947,0.09639638,0.490623641,0.498562385,0.273086064,0.225476321,7.141378687,58.69317825,58.69317652,886620000
